Student	1500	3
100928	'tai bao'	'M'	
100929	'hui wei'	'F'	
100930	'qian shi'	'M'	
100931	'cuan ju'	'F'	
100932	'ban zhu'	'M'	
100933	'ou cao'	'M'	
100934	'shen chen'	'F'	
100935	'fa yu'	'F'	
100936	'ha shi'	'F'	
100937	'jia liu'	'F'	
100938	'qian lei'	'M'	
100939	'tuo han'	'F'	
100940	'mian teng'	'F'	
100941	'da zhao'	'M'	
100942	'ran han'	'F'	
100943	'wang he'	'M'	
100944	'nen zhang'	'M'	
100945	'mu sun'	'M'	
100946	'fen an'	'F'	
100947	'ti bian'	'M'	
100948	'yin fang'	'M'	
100949	'pin tang'	'F'	
100950	'pei chang'	'F'	
100951	'ke cao'	'F'	
100952	'nin tao'	'M'	
100953	'ceng ni'	'M'	
100954	'cou cao'	'M'	
100955	'fu yu'	'M'	
100956	'jiong xue'	'M'	
100957	'le luo'	'M'	
100958	'zeng xie'	'M'	
100959	'ri luo'	'M'	
100960	'qin tang'	'M'	
100961	'xian xi'	'M'	
100962	'run mu'	'F'	
100963	'du lei'	'F'	
100964	'yi yan'	'F'	
100965	'hou shen'	'M'	
100966	'guai he'	'F'	
100967	'te yu'	'M'	
100968	'sheng kang'	'F'	
100969	'dai chu'	'F'	
100970	'chao yu'	'F'	
100971	'bang tang'	'F'	
100972	'neng jin'	'F'	
100973	'cui hao'	'M'	
100974	'nou lei'	'M'	
100975	'mo chen'	'M'	
100976	'zuo xie'	'F'	
100977	'han he'	'F'	
100978	'zheng qi'	'F'	
100979	'fei huang'	'F'	
100980	'tu ge'	'F'	
100981	'tuo zhang'	'F'	
100982	'jiao kong'	'M'	
100983	'biao jiang'	'F'	
100984	'm xiao'	'M'	
100985	'bei he'	'M'	
100986	'jiao feng'	'M'	
100987	'chao jiang'	'F'	
100988	'shua mu'	'F'	
100989	'nu pi'	'M'	
100990	'zha hua'	'M'	
100991	'xiang tang'	'F'	
100992	'kong wei'	'M'	
100993	'ha cen'	'M'	
100994	'yun ping'	'F'	
100995	'lv ni'	'M'	
100996	'chen ping'	'F'	
100997	'ting le'	'M'	
100998	'qin hua'	'M'	
100999	'jun yu'	'M'	
101000	'mao yin'	'F'	
101001	'wo he'	'F'	
101002	'bei xu'	'F'	
101003	'heng fei'	'F'	
101004	'mai lu'	'F'	
101005	'shai su'	'M'	
101006	'ha tang'	'F'	
101007	'men bai'	'M'	
101008	'hou zhu'	'M'	
101009	'kao yin'	'F'	
101010	'cheng zheng'	'F'	
101011	'wai shi'	'M'	
101012	'shuan wu'	'F'	
101013	'chai chang'	'M'	
101014	'kui shui'	'M'	
101015	'reng zheng'	'F'	
101016	'che fu'	'F'	
101017	'tai zhang'	'M'	
101018	'gang hua'	'M'	
101019	'wai hao'	'M'	
101020	'yun zhu'	'F'	
101021	'miao zhu'	'M'	
101022	'di wu'	'M'	
101023	'rang ma'	'M'	
101024	'tan bi'	'M'	
101025	'ga fu'	'M'	
101026	'nei yuan'	'F'	
101027	'zhuan yu'	'M'	
101028	'ai wu'	'M'	
101029	'song you'	'M'	
101030	'duo hao'	'F'	
101031	'zhui peng'	'F'	
101032	'pa pi'	'F'	
101033	'nu yan'	'F'	
101034	'longg jin'	'M'	
101035	'zhuan wei'	'M'	
101036	'yo kong'	'F'	
101037	'kan qian'	'F'	
101038	'pa lu'	'M'	
101039	'gun zhang'	'F'	
101040	'tuo shen'	'F'	
101041	'nao ping'	'F'	
101042	'te lian'	'F'	
101043	'dun li'	'F'	
101044	'zu hua'	'M'	
101045	'di yin'	'M'	
101046	'nu lu'	'F'	
101047	'neng li'	'M'	
101048	'yue fei'	'F'	
101049	'nao miao'	'F'	
101050	'ran miao'	'F'	
101051	'chuan han'	'M'	
101052	'die feng'	'F'	
101053	'liang qi'	'M'	
101054	'cang yu'	'F'	
101055	'ming zhang'	'M'	
101056	'ne qi'	'M'	
101057	'ta hua'	'F'	
101058	'shang tang'	'M'	
101059	'nai lian'	'M'	
101060	'gen shui'	'M'	
101061	'gui wei'	'M'	
101062	'rang sun'	'F'	
101063	'en yang'	'M'	
101064	'zou ma'	'M'	
101065	'qu bu'	'M'	
101066	'gou wei'	'M'	
101067	'biao sun'	'M'	
101068	'chuang chu'	'M'	
101069	'ku shi'	'M'	
101070	'mei an'	'F'	
101071	'zhua zhu'	'F'	
101072	'kuai jin'	'M'	
101073	'ya shi'	'M'	
101074	'sheng qin'	'F'	
101075	'ei han'	'F'	
101076	'fan bi'	'F'	
101077	'zeng wu'	'F'	
101078	'bi shi'	'F'	
101079	'bie cen'	'M'	
101080	'nv lang'	'M'	
101081	'mi wei'	'F'	
101082	'gu tao'	'M'	
101083	'qi ge'	'M'	
101084	'die an'	'F'	
101085	'tiao sun'	'M'	
101086	'xi tao'	'M'	
101087	'de peng'	'M'	
101088	'en ren'	'M'	
101089	'qi gu'	'F'	
101090	'nu sun'	'F'	
101091	'xiao hua'	'F'	
101092	'yue yu'	'F'	
101093	'nu chang'	'M'	
101094	'lian zhou'	'M'	
101095	'zhu bai'	'M'	
101096	'niu lang'	'F'	
101097	'en zhao'	'M'	
101098	'juan qin'	'M'	
101099	'shai ju'	'M'	
101100	'bi hao'	'M'	
101101	'jin yu'	'F'	
101102	'cang zheng'	'F'	
101103	'jing an'	'F'	
101104	'rong jin'	'F'	
101105	'dia li'	'F'	
101106	'chen yin'	'M'	
101107	'qu hua'	'F'	
101108	'ping yu'	'F'	
101109	'neng lang'	'M'	
101110	'jiao kang'	'F'	
101111	'gui liu'	'M'	
101112	'chuan shi'	'M'	
101113	'zhou zhang'	'M'	
101114	'zhen lian'	'M'	
101115	'luo yang'	'F'	
101116	'tu wu'	'M'	
101117	'ma jin'	'F'	
101118	'en ju'	'F'	
101119	'xiong qian'	'M'	
101120	'gu shi'	'M'	
101121	'qun pi'	'F'	
101122	'kuang ma'	'M'	
101123	'chan miao'	'M'	
101124	'lang dou'	'F'	
101125	'lang xu'	'M'	
101126	'kuai liu'	'M'	
101127	'gen cen'	'M'	
101128	'pei yu'	'M'	
101129	'tu lian'	'F'	
101130	'zou yu'	'F'	
101131	'bei liu'	'M'	
101132	'hei qian'	'F'	
101133	'feng le'	'F'	
101134	'chuan yun'	'F'	
101135	'kuan an'	'F'	
101136	'hei tang'	'M'	
101137	'suo he'	'F'	
101138	'cheng wu'	'M'	
101139	'nin an'	'M'	
101140	'ba wang'	'M'	
101141	'zi yu'	'M'	
101142	'hei su'	'F'	
101143	'wo li'	'M'	
101144	'hang yuan'	'F'	
101145	'jiao tao'	'F'	
101146	'chuai bian'	'F'	
101147	'ruo zheng'	'F'	
101148	'chen wu'	'F'	
101149	'pin he'	'M'	
101150	'ba xiao'	'F'	
101151	'zou tang'	'M'	
101152	'diu huang'	'M'	
101153	'tong yang'	'M'	
101154	'gang shi'	'F'	
101155	'tuo zheng'	'M'	
101156	'hei han'	'M'	
101157	'yi zheng'	'F'	
101158	'lan bu'	'F'	
101159	'en yu'	'F'	
101160	'fang ni'	'F'	
101161	'cen qian'	'M'	
101162	'yun ju'	'F'	
101163	'tuo meng'	'F'	
101164	'beng feng'	'M'	
101165	'she lian'	'F'	
101166	'ning yu'	'F'	
101167	'chong xue'	'M'	
101168	'bu fang'	'F'	
101169	'pian chu'	'F'	
101170	'cheng bai'	'M'	
101171	'jiong fang'	'F'	
101172	'kuan wei'	'F'	
101173	'wa ren'	'F'	
101174	'jiu kang'	'F'	
101175	'gong meng'	'F'	
101176	'dai zheng'	'F'	
101177	'shua su'	'M'	
101178	'bang bian'	'F'	
101179	'wai wu'	'F'	
101180	'yao ma'	'M'	
101181	'shan qi'	'M'	
101182	'shang bian'	'F'	
101183	'liao miao'	'F'	
101184	'shui fei'	'F'	
101185	'gen shen'	'F'	
101186	'pou teng'	'F'	
101187	'niang yin'	'F'	
101188	'gen hao'	'F'	
101189	'dan le'	'M'	
101190	'kong bi'	'F'	
101191	'bin qi'	'F'	
101192	'shao shui'	'F'	
101193	'biao ni'	'F'	
101194	'shu shi'	'M'	
101195	'hai lu'	'F'	
101196	'lou wei'	'F'	
101197	'sao ju'	'M'	
101198	'jiang yu'	'F'	
101199	'suo shi'	'M'	
101200	'fou lv'	'M'	
101201	'yo shen'	'F'	
101202	'zao he'	'M'	
101203	'pang ju'	'F'	
101204	'xie miao'	'M'	
101205	'ci chu'	'M'	
101206	'kuo xu'	'M'	
101207	'nai fan'	'F'	
101208	'die wei'	'F'	
101209	'huai zhang'	'M'	
101210	'qing wang'	'M'	
101211	'nian qin'	'F'	
101212	'shuai dou'	'M'	
101213	'nian su'	'M'	
101214	'chen xi'	'F'	
101215	'wu lian'	'F'	
101216	'dou feng'	'F'	
101217	'zhuang wu'	'F'	
101218	'zhou kang'	'F'	
101219	'gu pi'	'M'	
101220	'ang xi'	'F'	
101221	'nuo qin'	'F'	
101222	'kuai yun'	'M'	
101223	'qiang zhang'	'M'	
101224	'niang gu'	'F'	
101225	'yu qin'	'M'	
101226	'zhuan chang'	'F'	
101227	'xia xi'	'M'	
101228	'lun wu'	'M'	
101229	'neng miao'	'M'	
101230	'kuai yin'	'F'	
101231	'zheng yuan'	'M'	
101232	'jiong zhao'	'M'	
101233	'hong fei'	'M'	
101234	'ge fei'	'F'	
101235	'sai chang'	'M'	
101236	'ding luo'	'F'	
101237	'zao miao'	'F'	
101238	'die shen'	'M'	
101239	'men zhou'	'F'	
101240	'bing you'	'M'	
101241	'sui cen'	'M'	
101242	'hong dou'	'M'	
101243	'ga feng'	'M'	
101244	'tiao han'	'M'	
101245	'xia xi'	'F'	
101246	'te chang'	'M'	
101247	'zhuan wei'	'M'	
101248	'cai yun'	'F'	
101249	'pian mu'	'F'	
101250	'zhao le'	'M'	
101251	'run fan'	'F'	
101252	'tuo yuan'	'M'	
101253	'cao lv'	'F'	
101254	'cheng lian'	'F'	
101255	'wen luo'	'M'	
101256	'shuai wu'	'M'	
101257	'qian lv'	'F'	
101258	'tuo wu'	'M'	
101259	'pan lv'	'F'	
101260	'zhuo luo'	'M'	
101261	'chen qin'	'M'	
101262	'dai kong'	'M'	
101263	'zang tang'	'F'	
101264	'kou han'	'M'	
101265	'jiao lu'	'F'	
101266	'tang ge'	'F'	
101267	'rou feng'	'M'	
101268	'zhuang yuan'	'F'	
101269	'jun bu'	'M'	
101270	'ri shi'	'F'	
101271	'gang an'	'F'	
101272	'xian pan'	'F'	
101273	'kuo yan'	'M'	
101274	'ka shi'	'M'	
101275	'nao yu'	'M'	
101276	'tai li'	'M'	
101277	'ai mu'	'M'	
101278	'lao kong'	'F'	
101279	'bei jin'	'F'	
101280	'guo fei'	'M'	
101281	'tie yuan'	'M'	
101282	'en gu'	'F'	
101283	'xu ping'	'M'	
101284	'suan bu'	'M'	
101285	'wu wu'	'M'	
101286	'kong huang'	'F'	
101287	'jiao you'	'M'	
101288	'cu wu'	'F'	
101289	'die xi'	'M'	
101290	'lao jiang'	'F'	
101291	'zhe ni'	'M'	
101292	'zuo hao'	'M'	
101293	'suo kang'	'F'	
101294	'lan xie'	'M'	
101295	'shui luo'	'F'	
101296	'yo qian'	'F'	
101297	'hao miao'	'F'	
101298	'gou yang'	'F'	
101299	'xia peng'	'M'	
101300	'chun qian'	'F'	
101301	'sun lei'	'F'	
101302	'shao peng'	'F'	
101303	'liu bian'	'M'	
101304	'chuai yu'	'F'	
101305	'cui su'	'F'	
101306	'xin yin'	'M'	
101307	'luo qin'	'M'	
101308	'ne yan'	'M'	
101309	'yan bai'	'M'	
101310	'jun qin'	'F'	
101311	'zeng jiang'	'M'	
101312	'lan jin'	'F'	
101313	'wan xue'	'F'	
101314	'sa yu'	'M'	
101315	'tiao ge'	'M'	
101316	'pie zheng'	'F'	
101317	'gun zhang'	'M'	
101318	'me meng'	'M'	
101319	'jun tang'	'M'	
101320	'xu xue'	'M'	
101321	'tie yuan'	'M'	
101322	'bi kong'	'F'	
101323	'bian lian'	'M'	
101324	'quan xi'	'F'	
101325	'zuo yin'	'F'	
101326	'keng teng'	'M'	
101327	'qu peng'	'M'	
101328	'ku cen'	'M'	
101329	'kun yan'	'F'	
101330	'ceng wang'	'M'	
101331	'sou teng'	'M'	
101332	'zuo wei'	'M'	
101333	'nang ni'	'F'	
101334	'pang pi'	'F'	
101335	'chan jiang'	'F'	
101336	'li tang'	'F'	
101337	'ou bian'	'F'	
101338	'gu wu'	'M'	
101339	'sao chen'	'F'	
101340	'nin ju'	'F'	
101341	'cheng chu'	'F'	
101342	'chuan cen'	'M'	
101343	'hen han'	'M'	
101344	'dia ma'	'F'	
101345	'chai yan'	'M'	
101346	'di zhou'	'F'	
101347	'dai pi'	'M'	
101348	'nian chang'	'M'	
101349	'rang chen'	'M'	
101350	'nuan lu'	'F'	
101351	'cui wu'	'M'	
101352	'zhang an'	'M'	
101353	'dou meng'	'M'	
101354	'chen jiang'	'F'	
101355	'jiu teng'	'F'	
101356	'ji gu'	'M'	
101357	'rui tang'	'M'	
101358	'guang yun'	'F'	
101359	'run tang'	'F'	
101360	'shai wu'	'M'	
101361	'bo pi'	'M'	
101362	'ce xu'	'F'	
101363	'bi pi'	'M'	
101364	'diu shui'	'F'	
101365	'liao he'	'F'	
101366	'yao feng'	'F'	
101367	'sa gu'	'F'	
101368	'zou tang'	'M'	
101369	'he zhang'	'F'	
101370	'te yun'	'M'	
101371	'zu xie'	'F'	
101372	'mo chang'	'F'	
101373	'zan yin'	'F'	
101374	'xian han'	'M'	
101375	'zun yu'	'F'	
101376	'jia fu'	'M'	
101377	'ye hao'	'M'	
101378	'lv zheng'	'M'	
101379	'ban wei'	'F'	
101380	'zan chang'	'M'	
101381	'mou lian'	'M'	
101382	'su yu'	'M'	
101383	'ning yin'	'F'	
101384	'cuan lv'	'M'	
101385	'ya zhang'	'F'	
101386	'ga yun'	'F'	
101387	'niang pi'	'M'	
101388	'gun wu'	'M'	
101389	'xi meng'	'F'	
101390	'xian ju'	'F'	
101391	'dia shi'	'F'	
101392	'rang chang'	'M'	
101393	'cha pan'	'F'	
101394	'biao zhang'	'F'	
101395	'diao yuan'	'F'	
101396	'neng lv'	'M'	
101397	'bo he'	'M'	
101398	'jun hao'	'M'	
101399	'shun hua'	'F'	
101400	'dui shi'	'M'	
101401	'nian ping'	'F'	
101402	'en feng'	'F'	
101403	'hu ma'	'M'	
101404	'dui yu'	'M'	
101405	'bo jiang'	'M'	
101406	'ang shi'	'F'	
101407	'yo mu'	'F'	
101408	'ma yuan'	'F'	
101409	'shang xi'	'M'	
101410	'guang ren'	'F'	
101411	'jue ren'	'M'	
101412	'du yu'	'M'	
101413	'ce shui'	'M'	
101414	'en kang'	'M'	
101415	'ji chang'	'F'	
101416	'long wei'	'F'	
101417	'gui feng'	'M'	
101418	'shen chang'	'F'	
101419	'en you'	'F'	
101420	'le luo'	'F'	
101421	'lao jiang'	'M'	
101422	'kuang he'	'M'	
101423	'pan huang'	'F'	
101424	'mao xi'	'M'	
101425	'qiao yin'	'M'	
101426	'ni yang'	'F'	
101427	'ting yan'	'M'	
101428	'zhen wu'	'F'	
101429	'xian ren'	'M'	
101430	'chuan lian'	'M'	
101431	'er zhu'	'F'	
101432	'lai he'	'M'	
101433	'zeng hua'	'M'	
101434	'pi ni'	'M'	
101435	'niao feng'	'F'	
101436	'cun xie'	'M'	
101437	'pai kang'	'F'	
101438	'die yin'	'F'	
101439	'dong wu'	'M'	
101440	'yu teng'	'M'	
101441	'chong ma'	'F'	
101442	'chuai tang'	'M'	
101443	'zui peng'	'M'	
101444	'hang feng'	'F'	
101445	'zhai yin'	'F'	
101446	'dai yun'	'F'	
101447	'guai wei'	'M'	
101448	'jue you'	'M'	
101449	'nen cen'	'F'	
101450	'zha yang'	'M'	
101451	'ding lei'	'M'	
101452	'can wu'	'M'	
101453	'shuang dou'	'M'	
101454	'tao shi'	'F'	
101455	'ou zhu'	'M'	
101456	'shua kong'	'F'	
101457	'mie yu'	'F'	
101458	'pen bi'	'F'	
101459	'lin feng'	'M'	
101460	'qu ping'	'F'	
101461	'shuo lei'	'M'	
101462	'mian shui'	'F'	
101463	'xi he'	'M'	
101464	'nuan he'	'F'	
101465	'chui ni'	'F'	
101466	'wu jin'	'F'	
101467	'shua bai'	'M'	
101468	'zi chu'	'M'	
101469	'zhe feng'	'M'	
101470	'hen lei'	'F'	
101471	'kao qin'	'M'	
101472	'tao wei'	'M'	
101473	'guan lv'	'M'	
101474	'dui yan'	'F'	
101475	'long dou'	'F'	
101476	'zeng teng'	'M'	
101477	'ai kang'	'M'	
101478	'wu he'	'M'	
101479	'bu huang'	'F'	
101480	'qin qi'	'F'	
101481	'xue yang'	'M'	
101482	'sao chang'	'F'	
101483	'm wei'	'F'	
101484	'cuan mu'	'M'	
101485	'zhui feng'	'M'	
101486	'zuan zhu'	'M'	
101487	'zi jin'	'F'	
101488	'gao ping'	'M'	
101489	'shun sun'	'M'	
101490	'ci zhang'	'M'	
101491	'pian teng'	'F'	
101492	'tui huang'	'M'	
101493	'sou hua'	'F'	
101494	'rang zhou'	'F'	
101495	'chan pan'	'F'	
101496	'qing feng'	'M'	
101497	'yi tao'	'F'	
101498	'nie wei'	'F'	
101499	'yi yin'	'M'	
101500	'tiao yu'	'F'	
Course	235	2
300001	'Introduction to Aerospace Engineering and Design'	
300002	'Unified Engineering I, II, III, & IV'	
300003	'Unified Engineering I, II, III, & IV'	
300004	'Unified Engineering I, II, III, & IV'	
300005	'Unified Engineering I, II, III, & IV'	
300006	'Thermal Energy'	
300007	'Principles of Automatic Control'	
300008	'Dynamics'	
300009	'Aerodynamics'	
300010	'Compressible Flow'	
300011	'Aerodynamics of Viscous Fluids'	
300012	'Structural Mechanics'	
300013	'Techniques for Structural Analysis and Design'	
300014	'Computational Mechanics of Materials'	
300015	'Plates and Shells'	
300016	'Estimation and Control of Aerospace Systems'	
300017	'Feedback Control Systems'	
300018	'Stochastic Estimation and Control'	
300019	'Principles of Optimal Control'	
300020	'Aircraft Stability and Control'	
300021	'Dynamics of Nonlinear Systems'	
300022	'Software Engineering Concepts'	
300023	'System Safety'	
300024	'Communication Systems Engineering'	
300025	'Data Communication Networks'	
300026	'Infinite Random Matrix Theory'	
300027	'Random Matrix Theory and Its Applications'	
300028	'Principles of Autonomy and Decision Making'	
300029	'Cognitive Robotics'	
300030	'Principles of Autonomy and Decision Making'	
300031	'Human Supervisory Control of Automated Systems'	
300032	'Aerospace Biomedical and Life Support Engineering'	
300033	'Rocket Propulsion'	
300034	'Space Propulsion'	
300035	'Internal Flows in Turbomachines'	
300036	'Aerospace Dynamics'	
300037	'Experimental Projects I'	
300038	'Experimental Projects II'	
300039	'Inventions and Patents'	
300040	'Management in Engineering'	
300041	'Prototyping Avionics'	
300042	'Air Traffic Control'	
300043	'Airline Management'	
300044	'Logistical and Transportation Planning Methods'	
300045	'Logistical and Transportation Planning Methods'	
300046	'Airline Schedule Planning'	
300047	'Engineering Design and Rapid Prototyping'	
300048	'Engineering Design and Rapid Prototyping'	
300049	'The Aerospace Industry'	
300050	'Space Systems Engineering'	
300051	'Satellite Engineering'	
300052	'Integrating the Lean Enterprise'	
300053	'Engineering Risk-Benefit Analysis'	
300054	'System Safety'	
300055	'Robust System Design'	
300056	'Aircraft Systems Engineering'	
300057	'Aircraft Systems Engineering'	
300058	'Air Transportation Systems Architecting'	
300059	'Multidisciplinary System Design Optimization'	
300060	'Space Policy Seminar'	
300061	'Space System Architecture and Design'	
300062	'Engineering Apollo: The Moon Project as a Complex System'	
300063	'Computational Methods in Aerospace Engineering'	
300064	'Introduction to Numerical Simulation (SMA 5211)'	
300065	'Numerical Methods for Partial Differential Equations (SMA 5212)'	
300066	'Computational Geometry'	
300067	'Proseminar in Manufacturing'	
300068	'Introduction to Anthropology'	
300069	'Anthropological Theory'	
300070	'Seminar in Ethnography and Fieldwork'	
300071	'Magic, Witchcraft, and the Spirit World'	
300072	'Myth, Ritual, and Symbolism'	
300073	'Medical Anthropology'	
300074	'Dilemmas in Bio-Medical Ethics: Playing God or Doing Good?'	
300075	'Anthropology of War and Peace'	
300076	'Identity and Difference'	
300077	'Identity and Difference'	
300078	'Law and Society'	
300079	'Introduction to Latin American Studies'	
300080	'Violence, Human Rights, and Justice'	
300081	'Ethnic and National Identity'	
300082	'The Contemporary American Family'	
300083	'Gender, Sexuality, and Society'	
300084	'American Dream: Exploring Class in the U.S.'	
300085	'Race and Science'	
300086	'Power: Interpersonal, Organizational and Global Dimensions'	
300087	'Culture, Embodiment and the Senses'	
300088	'Marketing, Microchips and McDonalds: Debating Globalization'	
300089	'Documenting Culture'	
300090	'Gender, Power, and International Development'	
300091	'Technology and Culture'	
300092	'Environmental Struggles'	
300093	'Drugs, Politics, and Culture'	
300094	'Drugs, Politics, and Culture'	
300095	'Photography and Truth'	
300096	'The Anthropology of Computing'	
300097	'Introduction to Latin American Studies'	
300098	'The Conquest of America'	
300099	'Anthropology of the Middle East'	
300100	'Medicine, Religion and Politics in Africa and the African Diaspora'	
300101	'Social Theory and Analysis'	
300102	'CityScope: New Orleans'	
300103	'Experiencing Architecture Studio'	
300104	'Architectural Design: Intentions'	
300105	'Architecture Studio: Intentions'	
300106	'MArch Portfolio Seminar'	
300107	'Architectural Design, Level I: Perceptions and Processes'	
300108	'Architecture Studio: Building in Landscapes'	
300109	'Architecture Studio: Building in Landscapes'	
300110	'Architecture Studio: Building in Landscapes'	
300111	'Architectural Design, Level II: Material Essence: The Glass House'	
300112	'Architecture Design, Level II: Cuba Studio'	
300113	'Immaterial Limits: Process and Duration'	
300114	'Architectural Design, Level II: New Orleans Studio'	
300115	'Architectural Design, Level III: A Student Center for MIT'	
300116	'Urban Design Studio: Providence'	
300117	'Urban Design'	
300118	'Beijing Urban Design Studio'	
300119	'Ecuador Workshop'	
300120	'The Space Between Workshop'	
300121	'Ecuador Workshop'	
300122	'Digital Mock-Up Workshop'	
300123	'Case Studies in City Form'	
300124	'Architectural Design Workshop - Rethinking Office Development'	
300125	'Architecture Design Workshop: Researching User Demand for Innovative Offices'	
300126	'Sustainable Design and Technology Research Workshop'	
300127	'Architectural Design Workshop: Collage - Method and Form'	
300128	'Architectural Design Workshops: Computational Design for Housing'	
300129	'Beijing Urban Design Studio'	
300130	'Introduction to Integrated Design'	
300131	'Special Problems in Architectural Design'	
300132	'Architecture Design, Level II: Cuba Studio'	
300133	'Introduction to Design Computing'	
300134	'The Once and Future City'	
300135	'Design Fabrication'	
300136	'Advanced Seminar: Urban Nature and City Design'	
300137	'Sensing Place: Photography as Inquiry'	
300138	'Sites in Sight: Photography as Inquiry'	
300139	'Urban Housing: Paris, London, New York'	
300140	'Urban Design Politics'	
300141	'Urban Design Skills: Observing, Interpreting, and Representing the City'	
300142	'Theory of City Form'	
300143	'Media Technology and City Design and Development'	
300144	'Introduction to Urban Design and Development'	
300145	'Introduction to Urban Design and Development'	
300146	'Site and Urban Systems Planning'	
300147	'Property Rights in Transition'	
300148	'Introduction to Design Inquiry'	
300149	'Introduction to Design Inquiry'	
300150	'Power of Place: Media Technology, Youth, and City Design and Development'	
300151	'Furniture Making'	
300152	'Special Problems in Architecture Studies'	
300153	'Introduction to the Visual Arts'	
300154	'BSAD Foundations in the Visual Arts'	
300155	'Dialogue in Art, Architecture, and Urbanism'	
300156	'The Production of Space: Art, Architecture and Urbanism in Dialogue'	
300157	'Introduction to Sculpture'	
300158	'Introduction to Photography'	
300159	'Photography and Related Media'	
300160	'Introduction to Video'	
300161	'Advanced Projects in the Visual Arts: Personal Narrative'	
300162	'Studio Seminar in Public Art'	
300163	'Interrogative Design Workshop'	
300164	'Introduction to Building Technology'	
300165	'Ecologies of Construction'	
300166	'Building Technology Laboratory'	
300167	'Fundamentals of Energy in Buildings'	
300168	'Daylighting'	
300169	'Basic Structural Theory'	
300170	'Building Technologies II: Building Structural Systems I'	
300171	'Building Technologies III: Building Structural Systems II'	
300172	'Analysis of Historic Structures'	
300173	'Building Technology I: Materials and Construction'	
300174	'Building Technologies II: Building Structural Systems I'	
300175	'Building Technologies III: Building Structural Systems II'	
300176	'Building Technology III: Building Structural Systems'	
300177	'Form-Finding and Structural Optimization: Gaudi Workshop'	
300178	'Emergent Materials II'	
300179	'Natural Light in Design'	
300180	'Introduction to Design Computing'	
300181	'Architectural Construction and Computation'	
300182	'Digital Design Fabrication'	
300183	'Digital Mock-Up Workshop'	
300184	'Computational Design I: Theory and Applications'	
300185	'Computational Design I: Theory and Applications'	
300186	'Inquiry into Computation and Design'	
300187	'Modern Art and Mass Culture'	
300188	'Thinking About Architecture: In History and At Present'	
300189	'Topics in the Avant-Garde in Literature and Cinema'	
300190	'Religious Architecture and Islamic Cultures'	
300191	'The Architecture of Cairo'	
300192	'Drawings & Numbers: Five Centuries of Digital Design'	
300193	'Selected Topics in Architecture: Architecture from 1750 to the Present'	
300194	'20th Century Art'	
300195	'Theory and Method in the Study of Architecture and Art'	
300196	'Contemporary Architecture and Critical Debate'	
300197	'Stories Without Words: Photographing the First Year'	
300198	'SCUBA'	
300199	'Tennis'	
300200	'Weight Training'	
300201	'Archery'	
300202	'Fencing'	
300203	'Sailing'	
300204	'Physical Intelligence'	
300205	'PE for ME'	
300206	'Introduction to Bioengineering (BE.010J)'	
300207	'Statistical Thermodynamics of Biomolecular Systems (BE.011J)'	
300208	'Macroepidemiology (BE.102)'	
300209	'Chemicals in the Environment: Toxicology and Public Health (BE.104J)'	
300210	'Systems Microbiology'	
300211	'Laboratory Fundamentals in Biological Engineering'	
300212	'Thermodynamics of Biomolecular Systems'	
300213	'Biological Engineering Programming'	
300214	'Computation for Biological Engineers'	
300215	'Mechanisms of Drug Actions'	
300216	'Biological Engineering II: Instrumentation and Measurement'	
300217	'Molecular, Cellular, and Tissue Biomechanics'	
300218	'Biomolecular Kinetics and Cell Dynamics'	
300219	'Fields, Forces and Flows in Biological Systems'	
300220	'Materials for Biomedical Applications'	
300221	'Molecular Structure of Biological Materials (BE.442)'	
300222	'Quantitative Physiology: Cells and Tissues'	
300223	'Quantitative Physiology: Organ Transport Systems'	
300224	'Perspectives in Biological Engineering'	
300225	'Molecular, Cellular and Tissue Biomechanics (BE.410J)'	
300226	'Cell-Matrix Mechanics'	
300227	'Biomolecular Kinetics and Cellular Dynamics (BE.420J)'	
300228	'Fields, Forces, and Flows in Biological Systems (BE.430J)'	
300229	'Analysis of Biological Networks (BE.440)'	
300230	'Biomaterials-Tissue Interactions (BE.441)'	
300231	'Molecular Structure of Biological Materials (BE.442)'	
300232	'Molecular and Cellular Pathophysiology (BE.450)'	
300233	'Design of Medical Devices and Implants'	
300234	'Biomedical Information Technology (BE.453J)'	
300235	'Molecular Principles of Biomaterials'	
Exam	580	3
100949	300121	44	
100523	300004	91	
101132	300047	92	
100862	300110	73	
100047	300131	70	
100956	300188	100	
101202	300190	86	
101012	300067	85	
100262	300058	59	
101241	300157	74	
101059	300067	100	
101139	300168	95	
100622	300062	75	
101086	300148	92	
101103	300103	64	
100340	300062	100	
100772	300112	70	
100679	300069	86	
100507	300174	70	
100805	300053	73	
101397	300051	97	
101287	300187	67	
100442	300232	91	
100386	300136	100	
101249	300189	100	
100903	300183	90	
100476	300073	57	
100170	300128	100	
100513	300199	90	
100911	300215	57	
100546	300060	83	
100962	300161	82	
101286	300054	100	
101497	300052	70	
100861	300124	69	
101457	300190	70	
100621	300122	85	
101210	300030	78	
100350	300034	70	
101197	300125	80	
100932	300102	43	
101475	300013	63	
100436	300017	38	
100382	300078	92	
101373	300225	29	
100510	300173	63	
101040	300172	64	
100547	300143	99	
100477	300228	49	
100033	300183	97	
100139	300004	80	
101035	300126	79	
100883	300016	48	
100665	300030	99	
101470	300174	78	
101002	300153	75	
100058	300012	42	
100438	300059	85	
101067	300223	67	
100571	300072	55	
101321	300025	94	
100188	300211	78	
